2019-11-25 13:28:9		  INFO		ServiceLogger log4j Init
2019-12-26 16:29:9		  INFO		ServiceLogger log4j Init
2019-12-26 17:12:42		  INFO		ServiceLogger log4j Init
2019-12-27 16:09:14		  INFO		ServiceLogger log4j Init
2019-12-30 09:53:34		  INFO		ServiceLogger log4j Init
2020-01-03 11:43:42		  INFO		ServiceLogger log4j Init
2020-01-10 11:35:49		  INFO		ServiceLogger log4j Init
2020-01-10 11:35:49		  INFO		ServiceLogger log4j Init
2020-01-10 11:35:49		  INFO		ServiceLogger log4j Init
2020-03-10 10:56:32		  INFO		ServiceLogger log4j Init
2020-09-15 16:54:7		  INFO		ServiceLogger log4j Init
2020-12-04 14:01:59		  INFO		ServiceLogger log4j Init
2021-01-11 15:00:18		  INFO		ServiceLogger log4j Init
2021-07-09 09:48:30		  INFO		ServiceLogger log4j Init
2022-01-10 09:20:34		  INFO		ServiceLogger log4j Init
2022-07-07 08:56:26		  INFO		ServiceLogger log4j Init
2022-09-19 10:40:32		  INFO		ServiceLogger log4j Init
